127.0.0.1 - - [14/Nov/2020:15:28:08 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:10 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:10 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:14 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:14 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:16 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:41 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [14/Nov/2020:15:28:46 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1704
